# http://nutrition.mcdonalds.com/getnutrition/nutritionfacts.pdf
# http://www.fastfoodmenuprices.com/mcdonalds-prices/

#Food + Cost

param:  F:                                                  c  :=
"1 Low Fat Milk Jug"                                        1  
"Blueberry Pomegranate Smoothie"                            3.39  
"Coca-Cola Classic"                                         1.49  
"Dasani© Water"                                             1  
"Diet Coke"                                                 1.32  
"Diet Dr Pepper"                                            1.99  
"Dr Pepper"                                                 1.99  
"Fat Free Chocolate Milk Jug"                               2.29  
"Hi-C Orange Lavaburst"                                     1.59  
"Iced Tea"                                                  1  
"Mango Pineapple Smoothie"                                  2.39  
"McCafe Classic Lemonade"                                   1.79  
"Minute Maid Apple Juice Box"                               2.09  
"Minute Maid® Orange Juice"                                 2.09  
"POWERade Mountain Berry Blast"                             2  
"Red Flash Extra Small"                                     1.59  
"Red Flash Large"                                           2.3  
"Red Flash Medium"                                          2.1  
"Red Flash Small"                                           1.89  
"Sprite"                                                    1  
"Strawberry Banana Smoothie"                                2.39  
"Sweet Tea"                                                 1.49  
"Bacon  Egg & Cheese Bagel"                                 3.29  
"Bacon  Egg & Cheese Bagel w/ Egg Whites"                   4.99  
"Bacon  Egg & Cheese Biscuit"                               1.39  
"Bacon  Egg & Cheese Biscuit w/ Egg Whites"                 1.69  
"Bacon  Egg & Cheese McGriddles"                            3.29  
"Bacon  Egg & Cheese McGriddles w/ Egg Whites"              4.49  
"Big Breakfast w/ Egg Whites"                               4.42  
"Big Breakfast w/ Hotcakes & Egg Whites"                    5.49  
"Big Breakfast with Hotcakes"                               6.1  
"Big Breakfast®"                                            3.69  
"Cinnamon Melts"                                            1.69  
"Egg McMuffin"                                              2.79  
"Egg White Delight McMuffin"                                2.79  
"Fruit & Maple Oatmeal w/ Brown Sugar"                      1.99  
"Fruit & Maple Oatmeal w/o Brown Sugar"                     1.99  
"Hash Brown"                                                1.09  
"Hotcakes"                                                  2.49  
"Hotcakes and Sausage"                                      3.19  
"Sausage Biscuit"                                           1.19  
"Sausage Biscuit w/ Egg Whites"                             1.3  
"Sausage Biscuit with Egg"                                  2.79  
"Sausage Burrito"                                           1.29  
"Sausage McGriddles®"                                       3.29  
"Sausage McMuffin w/ Egg Whites"                            4.49  
"Sausage McMuffin®"                                         1.19  
"Sausage McMuffin® with Egg"                                1.39  
"Sausage  Egg & Cheese McGriddles"                          3.29  
"Sausage  Egg & Cheese McGriddles Egg Whites"               4.49  
"Southern Style Chicken Biscuit"                            2.29  
"Steak & Egg Biscuit"                                       3.99  
"Artisan Grilled Chicken Sandwich"                          4.39  
"Bacon & Cheese Sirloin Third Pound Burger"                 5  
"Bacon Buffalo Ranch McChicken"                             2  
"Bacon Cheddar McChicken"                                   2  
"Bacon Clubhouse Burger"                                    4.49  
"Bacon Clubhouse Chicken Sandwich wC/ Chicken"              4.19  
"Bacon Clubhouse Chicken Sandwich wG/ Chicken"              4.19  
"Bacon McDouble"                                            2  
"BBQ Ranch Burger"                                          1  
"Big Mac"                                                   3.99  
"Buffalo Ranch McChicken"                                   1  
"Cheeseburger"                                              2  
"Daily Double"                                              1.39  
"Double Cheeseburger"                                       1.69  
"Double Quarter Pounder® with Cheese"                       3.79  
"Filet-O-Fish®"                                             3.79  
"Grilled Onion Cheddar Burger"                              1  
"Hamburger"                                                 2.49  
"Jalapeño Double"                                           2  
"Lettuce & Tomato Sirloin Third Pound Burger"               4.99  
"McChicken"                                                 2  
"McDouble"                                                  2  
"McRib"                                                     2.99  
"Old Bay Filet-O-Fish"                                      3.79  
"Premium Buttermilk CrispyChicken DeluxeSandw"             5  
"Premium Crispy Chicken Deluxe Sandwich"                    5  
"Premium McWrap Chicken & Bacon wC/ Chicken"                4.39  
"Premium McWrap Chicken & Bacon wG/ Chicken"                4.39  
"Premium McWrap Chicken & Ranch wC/ Chicken"                4.39  
"Premium McWrap Chicken & Ranch wG/ Chicken"                4.39  
"Premium McWrap Chicken SweetChili wC/ Chicken"             4.39  
"Premium McWrap Chicken SweetChili wG/ Chicken"             4.39  
"Premium McWrap Southwest Chicken wC/ Chicken"              4.99  
"Premium McWrap Southwest Chicken wG/ Chicken"              4.99  
"Quarter Pounder Bacon & Cheese"                            3.79  
"Quarter Pounder Deluxe"                                    4.09  
"Quarter Pounder® with Cheese"                              3.79  
"Southern Style Crispy Chicken Sandwich"                    3.39  
"Steakhouse Sirloin Third Pound Burger"                     5.19  
"Baked Hot Apple Pie"                                       0.89  
"Chocolate Chip Cookie"                                     0.39  
"Chocolate McCafe Shake"                                    2.99  
"Fried Cherry Pie"                                          0.89  
"Hot Caramel Sundae"                                        1.19  
"Hot Fudge Sundae"                                          1.19  
"Kiddie Ice Cream Cone"                                     1  
"McCafe Shamrock Shake"                                     1.79  
"McFlurry w/ M&M's Candies"                                 2.39  
"McFlurry w/ OREO Cookies"                                  2.39  
"Oatmeal Raisin Cookie"                                     1.99  
"Pumpkin and Creme Pie"                                     0.89  
"Strawberry & Creme Pie"                                    0.89  
"Strawberry McCafe Shake"                                   2.99  
"Strawberry Sundae"                                         1.19  
"Premium Asian Salad w/ Crispy Chicken"                     4.39  
"Premium Asian Salad w/ Grilled Chicken"                    4.39  
"Premium Asian Salad w/o Chicken"                           4.39  
"Premium Bacon Ranch Salad w/ Crispy Chicken"               4.59  
"Premium Bacon Ranch Salad w/ Grilled Chicken"              4.59  
"Premium Bacon Ranch Salad w/o Chicken"                     4.59  
"Premium Southwest Salad w/ Crispy Chicken"                 4.79  
"Premium Southwest Salad w/ Grilled Chicken"                4.79  
"Premium Southwest Salad w/o Chicken"                       4.79  

  ;
 

# Max and Min for each Nutrient
param:  N:       Nmin   Nmax    :=
        Cal      0        833
        Fat      0        70
        T        0        65
        SatF     0        30
        TransF   0        30
        Chol     55       300
        Na       0        2000
        Car      0        75
        F        0        25
        S        0        15
        P        30       .
        VA       0        .
        VC       10       .
        Ca       10       .
        I        10       .    ;

#Cal = kCalories
#Fat = kCalories from Fat
#T = Total Fat (g)
#Chol = Cholesterol (mg)
#Na = Sodium (mg)
#Car = Carbohydrates (g)
#F = Fiber (g)
#S = Sugar (g)
#P = Proteine (g)
#VA = Vitamine A
#VC = Vitamine C
#Ca = Calcium
#I = Iron

# Amount of nutrient

param a:
                                               Cal   Fat   T   SatF   TransF   Chol   Na   Car   F   S   P   VA   VC   Ca   I:=
"1 Low Fat Milk Jug"                           100   20    3   2      0        10     125  12    0   12  8   10   4    30   0  
"Blueberry Pomegranate Smoothie"               220   5     0   0      0        5      40   50    3   44  2   0    2    6    2  
"Coca-Cola Classic"                            210   0     0   0      0        0      15   58    0   58  0   0    0    0    0  
"Dasani© Water"                                0     0     0   0      0        0      0    0     0   0   0   0    0    0    0  
"Diet Coke"                                    0     0     0   0      0        0      30   0     0   0   0   0    0    0    0  
"Diet Dr Pepper"                               0     0     0   0      0        0      75   0     0   0   0   0    0    0    0  
"Dr Pepper"                                    210   0     0   0      0        0      75   56    0   56  0   0    0    0    0  
"Fat Free Chocolate Milk Jug"                  130   0     0   0      0        5      135  23    0   22  9   10   0    30   8  
"Hi-C Orange Lavaburst"                        240   0     0   0      0        0      10   64    0   64  0   0    210  0    0  
"Iced Tea"                                     0     0     0   0      0        0      15   0     0   0   0   0    0    0    0  
"Mango Pineapple Smoothie"                     220   10    1   0.5    0        5      45   49    2   47  3   35   30   8    2  
"McCafe Classic Lemonade"                      100   0     0   0      0        0      10   25    1   21  0   0    35   2    0  
"Minute Maid Apple Juice Box"                  100   0     0   0      0        0      15   23    0   22  0   0    100  10   0  
"Minute Maid® Orange Juice"                    190   0     0   0      0        0      0    39    0   39  3   0    180  4    0  
"POWERade Mountain Berry Blast"                150   0     0   0      0        0      130  39    0   31  0   0    0    0    0  
"Red Flash Extra Small"                        110   0     0   0      0        0      0    29    0   29  0   0    0    0    0  
"Red Flash Large"                              300   0     0   0      0        0      0    81    0   80  0   0    0    0    0  
"Red Flash Medium"                             220   0     0   0      0        0      0    58    0   58  0   0    0    0    0  
"Red Flash Small"                              150   0     0   0      0        0      0    41    0   41  0   0    0    0    0  
"Sprite"                                       210   0     0   0      0        0      55   56    0   56  0   0    0    0    0  
"Strawberry Banana Smoothie"                   210   5     1   0      0        5      50   47    3   44  3   0    30   8    2  
"Sweet Tea"                                    180   0     0   0      0        0      10   45    0   45  1   0    0    0    0  
"Bacon  Egg & Cheese Bagel"                    560   240   27  9      1        260    1300 56    3   7   24  20   2    20  20  
"Bacon  Egg & Cheese Bagel w/ Egg Whites"      510   190   21  7      0.5      45     1230 55    3   7   25  10   2    20  15  
"Bacon  Egg & Cheese Biscuit"                  420   210   23  12     0        235    1160 37    2   3   15  10   0    15  15  
"Bacon  Egg & Cheese Biscuit w/ Egg Whites"    360   160   17  10     0        20     1130 36    2   3   16  2    0    15  10  
"Bacon  Egg & Cheese McGriddles"               420   160   18  8      0        240    1110 48    2   15  15  10   0    20  15  
"Bacon  Egg & Cheese McGriddles w/ Egg Whites" 360   110   12  6      0        25     1080 46    2   15  16  2    0    15  10  
"Big Breakfast w/ Egg Whites"                  640   330   37  14     0        35     1590 50    3   3   26  0    2    10  15  
"Big Breakfast w/ Hotcakes & Egg Whites"       990   410   46  16     0        55     2170 110   6   17  35  0    2    25  30  
"Big Breakfast with Hotcakes"                  1090  510   56  19     0        575    2150 111   6   17  36  15   2    25  40  
"Big Breakfast®"                               740   430   48  17     0        555    1560 51    3   3   28  15   2    15  25  
"Cinnamon Melts"                               460   170   19  9      0        15     370  66    3   32  6   4    0    6  15  
"Egg McMuffin"                                 300   110   12  5      0        260    820  30    2   3   18  10   0    30  20  
"Egg White Delight McMuffin"                   250   60    7   3      0        25     800  32    5   3   18  4    0    25  10  
"Fruit & Maple Oatmeal w/ Brown Sugar"         290   40    5   2      0        10     160  57    5   32  5   2    130  10  10  
"Fruit & Maple Oatmeal w/o Brown Sugar"        260   40    5   2      0        10     115  48    5   18  5   2    130  6  10  
"Hash Brown"                                   150   80    9   2      0        0      310  15    2   0   1   0    2    0  2  
"Hotcakes"                                     350   80    9   2      0        20     590  60    3   14  8   0    0    15  15  
"Hotcakes and Sausage"                         520   210   24  7      0        50     930  61    3   14  15  0    0    15  15  
"Sausage Biscuit"                              430   240   27  12     0        30     1080 34    2   2   11  0    0    6   15  
"Sausage Biscuit w/ Egg Whites"                460   250   27  12     0        35     1180 34    2   3   18  0    0    8   15  
"Sausage Biscuit with Egg"                     510   290   33  14     0        250    1170 36    2   2   18  6    0    10  20  
"Sausage Burrito"                              300   140   16  7      0        115    830  26    1   2   12  10   2    15  15  
"Sausage McGriddles®"                          420   200   22  8      0        35     1030 44    2   15  11  0    0    8   10  
"Sausage McMuffin w/ Egg Whites"               400   200   22  8      0        50     910  31    5   2   22  4    0    25  10  
"Sausage McMuffin®"                            370   200   22  8      0        45     850  29    2   2   14  6    2    25  15  
"Sausage McMuffin® with Egg"                   450   250   27  10     0        285    920  30    2   2   21  10   2    30  20  
"Sausage  Egg & Cheese McGriddles"             560   290   32  12     0        265    1360 48    2   15  20  10   0    20  15  
"Sausage  Egg & Cheese McGriddles Egg Whites"  500   230   26  10     0        50     1320 46    2   15  21  2    0    20  10  
"Southern Style Chicken Biscuit"               410   180   20  8      0        30     1180 41    2   3   17  0    2    6   15  
"Steak & Egg Biscuit"                          540   290   32  16     1        280    1470 38    2   3   25  10   2    20  25  
"Artisan Grilled Chicken Sandwich"             360   50    6  1.5     0        80     930  43    3   11  32  4    15   20  10  
"Bacon & Cheese Sirloin Third Pound Burger"    810   370   41  18     2        155    2060 65    4   13  47  10   15   25  35  
"Bacon Buffalo Ranch McChicken"                420   180   20  4.5    0        50     1250 41    2   6   20  2    10   15  15  
"Bacon Cheddar McChicken"                      480   220   24  7      0        65     1260 43    2   6   22  4    10   20  15  
"Bacon Clubhouse Burger"                       720   360   40  15     1.5      115    1470 51    4   14  39  8    25   30  25  
"Bacon Clubhouse Chicken Sandwich wC/ Chicken" 750   340   38  10     0.5      90     1720 65    4   16  36  8    25   30  15  
"Bacon Clubhouse Chicken Sandwich wG/ Chicken" 590   230   25  8      0        110    1560 51    4   14  40  8    30   30  15  
"Bacon McDouble"                               460   210   24  10     1        85     1120 34    2   7   28  6    10   20  20  
"BBQ Ranch Burger"                             350   140   16  6      0.5      45     680  37    3   7   16  4    0    20  15  
"Big Mac"                                      540   260   29  10     2        75     1040 45    3   9   25  6    2    25  25  
